VariableName,typeSeqID,weight,group,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,choice4,choice4_vn,choice4_en,choice4_th,choice4_in,choice4_ph,choice4_ma,answer,imgID
293,3,50,368,<General knowledge> Which element is most abundant in the Earth's crust?  ,<Kiến thức chung> Nguyên tố nào có nhiều nhất trong vỏ trái đất?,<General knowledge> Which element is most abundant in the Earth's crust?  ,<ความรู้ทั่วไป> ธาตุใดมีมากที่สุดในเปลือกโลก?  ,<Pengetahuan umum> Unsur apa yang paling banyak terdapat di kerak bumi?  ,<Pangunahing kaalaman> Anong elemento ang pinakamarami sa crust ng mundo?  ,Unsur manakah yang paling banyak dalam kerak bumi?,Oxygen,Oxygen,Oxygen  ,Oxygen  ,Oxygen  ,Oxygen  ,Oksigen  ,Nitrogen  ,Nitơ,Nitrogen  ,ไนโตรเจน  ,Nitrogen  ,Nitrogen  ,Nitrogen  ,Kerosene  ,Kerosene,Kerosene  ,Kerosene  ,Kerosene  ,Kerosene  ,Kerosene  ,Quiet,Tịch,Quiet,เงียบสงบ,Sunyi,Tahimik,Sunyi,,
294,3,50,369,<General knowledge> In which medium does sound travel the fastest?  ,<Kiến thức chung> Âm thanh truyền nhanh nhất trong chất gì?,<General knowledge> In which medium does sound travel the fastest?  ,<ความรู้ทั่วไป> เสียงเดินทางเร็วที่สุดในสื่อใด?  ,<Pengetahuan umum> Suara merambat paling cepat dalam medium apa?  ,<Pangunahing kaalaman> Sa anong medium pinakamabilis kumalat ang tunog?  ,Bunyi merambat paling laju dalam bahan apa?,Trong biển,Trong biển,In the sea  ,ในทะเล  ,Di laut  ,Sa dagat  ,Di laut  ,Distilled water  ,Nước cất,Distilled water  ,น้ำกลั่น  ,Air suling  ,Distilled water  ,Air suling  ,United Kingdom  ,Vương quốc Anh,United Kingdom  ,สหราชอาณาจักร  ,Inggris  ,Reino Unido  ,United Kingdom  ,Poor,Bần,Poor,ยากจน,Miskin,Mahina,Miskin,,
295,3,50,370,<General knowledge> Who sculpted the Statue of Liberty in the USA?  ,<Kiến thức chung> Tượng Nữ thần Tự do của Mỹ là tác phẩm của nhà điêu khắc nào?,<General knowledge> Who sculpted the Statue of Liberty in the USA?  ,<ความรู้ทั่วไป> ใครเป็นช่างแกะสลักรูปปั้นเทพีเสรีภาพในสหรัฐอเมริกา?  ,<Pengetahuan umum> Siapa pematung Patung Liberty di Amerika Serikat?  ,<Pangunahing kaalaman> Sino ang eskultor ng Statue of Liberty sa USA?  ,Patung Liberty di Amerika adalah hasil karya pemahat siapa?,Pháp,Pháp,France  ,France  ,Prancis  ,Pransya  ,Perancis  ,USA  ,Mỹ,USA  ,สหรัฐอเมริกา  ,AS  ,USA  ,USA  ,Wrestling  ,Wrestling,Wrestling  ,มวยปล้ำ  ,Gulat  ,Lucha libre  ,Gulat  ,Germany,Nước Đức,Germany,เยอรมนี,Jerman,Alemanya,Jerman,,
296,3,50,371,<General knowledge> Which sport is called “the mother of all sports”?  ,<Kiến thức chung> Môn thể thao nào được gọi là “mẹ của các môn thể thao”?,<General knowledge> Which sport is called “the mother of all sports”?  ,<ความรู้ทั่วไป> กีฬาใดที่เรียกว่า “แม่ของกีฬา”?  ,<Pengetahuan umum> Olahraga apa yang disebut “ibu dari semua olahraga”?  ,<Pangunahing kaalaman> Anong isport ang tinatawag na “ina ng lahat ng isport”?  ,Sukan apakah yang digelar sebagai “ibu kepada semua sukan”?,Điền kinh,Điền kinh,Athletics  ,กรีฑา  ,Atletik  ,Athletics  ,Atletik  ,Swimming  ,Bơi lội,Swimming  ,ว่ายน้ำ  ,Berenang  ,Paglangoy  ,Berenang  ,Zekrom  ,Zekrom,Zekrom  ,Zekrom  ,Zekrom  ,Zekrom  ,Zekrom  ,Raise inside,Nâng bên trong,Raise inside,ยกขึ้นภายใน,Angkat di dalam,Itinaas sa loob,Angkat di dalam,,
297,1,50,372,Which spirit below is NOT one of the “Three Dragons of the Way”?  ,Tinh linh nào dưới đây không phải là “Ba con rồng của Đạo”?,Which spirit below is NOT one of the “Three Dragons of the Way”?  ,ในบรรดาท tinh linh เหล่านี้ อันไหนไม่ใช่ “สามมังกรแห่งทาง”?  ,Spirit mana di bawah ini BUKAN “Tiga Naga Jalan”?  ,Alin sa mga sumusunod na espiritu ang HINDI kabilang sa “Tatlong Dragon ng Daan”?  ,Roh manakah di bawah ini bukan salah satu daripada “Tiga Naga Aura”?,Cosmog,Cosmog,Cosmog  ,Cosmog  ,Cosmog  ,Cosmog  ,Cosmog  ,Reshiram  ,Reshiram,Reshiram  ,Reshiram  ,Reshiram  ,Reshiram  ,Reshiram  ,Another Groudon  ,Một Groudon khác,Another Groudon  ,Groudon อีกตัว  ,Groudon lain  ,Otro Groudon  ,Satu Groudon yang lain  ,Rem prison,Tù Rem,Rem prison,คุกเรม,Penjara Rem,Bilangguan Rem,Penjara Rem,,
298,1,50,373,Who is the mortal enemy of Groudon?  ,Kẻ thù chết người của Groudon là ai?,Who is the mortal enemy of Groudon?  ,ศัตรูที่ร้ายกาจที่สุดของ Groudon คือใคร?  ,Siapa musuh mematikan Groudon?  ,Sino ang mortal na kaaway ni Groudon?  ,Siapakah musuh ketat maut kepada Groudon?,Groudon,Groudon,Groudon  ,Groudon  ,Groudon  ,Groudon  ,Groudon  ,Giratina,Giratina,Giratina,Giratina,Giratina,Giratina,Giratina  ,H  ,H,H  ,H  ,H  ,H  ,H  ,Humanity,Nhân loại,Humanity,มนุษยชาติ,Kemanusiaan,Sangkatauhan,Kemanusiaan,,
299,1,50,374,"In the Pokémon animated series, what letter is the symbol on Team Rocket’s outfit?  ","Trong bộ phim hoạt hình Pokémon, biểu tượng trên trang phục của đội Rocket là chữ cái nào?","In the Pokémon animated series, what letter is the symbol on Team Rocket’s outfit?  ",ในอนิเมะโปเกมอน สัญลักษณ์บนชุดของทีมร็อคเก็ตคืออักษรอะไร?  ,"Dalam serial animasi Pokémon, huruf apa yang menjadi simbol pada pakaian Tim Rocket?  ","Sa animated na palabas ng Pokémon, anong letra ang simbolo sa kasuotan ng Team Rocket?  ","Dalam siri animasi Pokémon, huruf apakah yang menjadi simbol pada pakaian Team Rocket?",R,R,R,R,R,R,R  ,P,P,P,P,P,P,P  ,Leek Duck  ,Leek Duck,Leek Duck  ,Leek Duck  ,Leek Duck  ,Leek Duck  ,Leek Duck  ,S,S,S,S,S,S,S,,
300,1,50,375,Which spirit holds a circle that can be used for hypnosis?  ,Tinh linh nào cầm một vòng tròn có thể dùng để thôi miên?,Which spirit holds a circle that can be used for hypnosis?  ,tinh linh ตัวไหนถือวงกลมที่ใช้สำหรับสะกดจิต?  ,Spirit mana yang memegang lingkaran yang dapat digunakan untuk hipnosis?  ,Aling espiritu ang may hawak na bilog na maaaring gamitin para sa hipnosis?  ,Roh manakah yang memegang cincin dan boleh menghipnosis?,Dream Eater,Dream Eater,Dream Eater  ,ผู้กินความฝัน  ,Pemakan Mimpi  ,Tagakain ng Panaginip  ,Pemakan Mimpi  ,Alakazam  ,Alakazam,Alakazam  ,อลาเซม  ,Alakazam  ,Alakazam  ,Alakazam  ,Great Wood City  ,Đại gỗ Thành cũng,Great Wood City  ,เมืองไม้ใหญ่  ,Kota Kayu Besar  ,Gran Ciudad de Madera  ,Kota Kayu Besar  ,But pull but pull,Nhưng kéo nhưng kéo,But pull but pull,แต่ดึง แต่ดึง,Tapi tarik tapi tarik,Ngunit hilahin ngunit hilahin,Tapi tarik tapi tarik,,
301,2,50,376,What is Professor Oak’s real name?  ,Tên thật của Giáo sư Oak là gì?,What is Professor Oak’s real name?  ,ชื่อจริงของศาสตราจารย์ Oak คืออะไร?  ,Siapa nama asli Profesor Oak?  ,Ano ang tunay na pangalan ni Professor Oak?  ,Apakah nama sebenar Profesor Oak?,Oak Snow,Oak Snow,Oak Snow  ,หิมะต้นโอ๊ก  ,Salju Oak  ,Snow ng Oak  ,Salji Oak  ,Oak  ,Oak,Oak  ,โอ๊ค  ,Oak  ,Oak  ,Oak  ,Like male  ,Giống như đực,Like male  ,เหมือนเพศผู้  ,Seperti jantan  ,Como macho  ,Seperti jantan  ,Great wood peach inside,Đại mộc đào bên trong,Great wood peach inside,พีชไม้ใหญ่ภายใน,Persik kayu besar di dalam,Malaking peach na kahoy sa loob,Pokok pic besar di dalam,,
302,2,50,377,What is the shape of a female Pikachu’s tail?  ,Đuôi của Pikachu cái nào có hình dạng gì?,What is the shape of a female Pikachu’s tail?  ,หางของ Pikachu ตัวเมียมีรูปร่างอย่างไร?  ,Bentuk ekor Pikachu betina seperti apa?  ,Ano ang hugis ng buntot ng babaeng Pikachu?  ,Ekor Pikachu betina berbentuk apa?,Heart,Heart,Heart  ,หัวใจ  ,Hati  ,Puso  ,Hati  ,Star-shaped  ,Hình sao,Star-shaped  ,รูปดาว  ,Bentuk bintang  ,Hugis bituin  ,Bentuk bintang  ,Because of its own evolution  ,Vì sự tiến hóa của chính nó,Because of its own evolution  ,เพราะการวิวัฒนาการของตัวเอง  ,Karena evolusinya sendiri  ,Debido a su propia evolución  ,Kerana evolusinya sendiri  ,The tail on top prints a flower,Cái đuôi bên trên in một đóa hoa,The tail on top prints a flower,หางด้านบนพิมพ์ดอกไม้,Ekor di atas mencetak bunga,Ang buntot sa itaas ay may print ng bulaklak,Ekor di atas mencetak bunga,,
303,2,50,378,Why did Ash’s Squirtle leave the group?  ,Tại sao Squirtle của Ash đã rời nhóm?,Why did Ash’s Squirtle leave the group?  ,ทำไม Squirtle ของ Ash ถึงออกจากกลุ่ม?  ,Mengapa Squirtle milik Ash meninggalkan kelompok?  ,Bakit umalis sa grupo si Ash’s Squirtle?  ,Mengapa Squirtle milik Ash meninggalkan kumpulan?,"Để dập lửa, trở thành lính cứu hỏa","Để dập lửa, trở thành lính cứu hỏa","To put out fires, becomes a firefighter  ",เพื่อดับไฟ กลายเป็นนักดับเพลิง  ,"Untuk memadamkan api, menjadi petugas pemadam kebakaran  ","Para patayin ang apoy, naging bumbero  ","Untuk memadamkan api, menjadi bomba  ",Searching for stronger trainers  ,Tìm kiếm huấn luyện viên mạnh mẽ hơn,Searching for stronger trainers  ,ค้นหาผู้ฝึกที่แข็งแกร่งกว่า  ,Mencari pelatih yang lebih kuat  ,Naghahanap ng mas malalakas na tagasanay  ,Sedang mencari jurulatih yang lebih kuat  ,Originally unable to evolve  ,Vốn dĩ không thể tiến hóa,Originally unable to evolve  ,เดิมไม่สามารถวิวัฒนาการได้  ,Aslinya tidak bisa berevolusi  ,Originalmente incapaz de evolucionar  ,Asalnya tidak boleh berkembang  ,Because resembling female Denis turtle,Vì giống cái Denis rùa,Because resembling female Denis turtle,เพราะคล้ายเต่าหญิงเดนิส,Karena mirip kura-kura betina Denis,Dahil kahawig ng babaeng pagong Denis,Kerana menyerupai kura-kura betina Denis,,
304,2,50,379,Why hasn’t Meowth from Team Rocket evolved?  ,Tại sao Meowth trong đội Rocket không tiến hóa?,Why hasn’t Meowth from Team Rocket evolved?  ,ทำไม Meowth ในทีมร็อคเก็ตถึงไม่วิวัฒนาการ?  ,Mengapa Meowth dari Tim Rocket tidak berevolusi?  ,Bakit hindi nag-evolve si Meowth ng Team Rocket?  ,Mengapa Meowth dalam Team Rocket tidak berevolusi?,Học nói tiêu tốn năng lượng,Học nói tiêu tốn năng lượng,Learning to speak consumes energy  ,การเรียนพูดใช้พลังงาน  ,Belajar bicara menghabiskan energi  ,Ang pagkatuto magsalita ay kumakain ng enerhiya  ,Belajar bercakap menggunakan tenaga  ,Dislikes evolution  ,Không thích tiến hóa,Dislikes evolution  ,ไม่ชอบวิวัฒนาการ  ,Tidak suka berevolusi  ,Ayaw mag-evolve  ,Tidak mahu berevolusi  ,Ear  ,Tai,Ear  ,หู  ,Telinga  ,Oreja  ,Telinga  ,Meow meow model dislikes,Mẫu meo meo không thích,Meow meow model dislikes,แบบเหมียวเหมียวไม่ชอบ,Model meow meow tidak suka,Hindi gusto ng modelong meow meow,Model meow meow tidak suka,,
305,2,50,380,From which part of its body does Pikachu discharge electricity?  ,Pikachu phóng điện từ bộ phận nào trên cơ thể?,From which part of its body does Pikachu discharge electricity?  ,Pikachu ปล่อยไฟฟ้าจากส่วนไหนของร่างกาย?  ,Dari bagian tubuh mana Pikachu mengeluarkan listrik?  ,Mula saang bahagi ng katawan naglalabas ng kuryente si Pikachu?  ,Pikachu melepaskan elektrik dari bahagian mana pada tubuhnya?,Gò má,Gò má,Cheeks  ,แก้ม  ,Pipi  ,Pisngi  ,Pipi  ,Two hands  ,Hai tay,Two hands  ,สองมือ  ,Dua tangan  ,Dalawang kamay  ,Dua tangan  ,9 types  ,9 loại,9 types  ,9 ชนิด  ,9 jenis  ,9 tipos  ,9 jenis  ,The tail,Cái đuôi,The tail,หาง,Ekor,Ang buntot,Ekor,,
306,2,50,381,How many evolutionary forms does Eevee have?  ,Eevee có bao nhiêu dạng tiến hóa?,How many evolutionary forms does Eevee have?  ,Eevee มีรูปแบบวิวัฒนาการกี่แบบ?  ,Berapa banyak bentuk evolusi Eevee?  ,Ilan ang mga porma ng ebolusyon ng Eevee?  ,Eevee mempunyai berapa bentuk evolusi?,8 loại,8 loại,8 types  ,8 ประเภท  ,8 jenis  ,8 uri  ,8 jenis  ,7 types  ,7 loại,7 types  ,7 ประเภท  ,7 jenis  ,7 uri  ,7 jenis  ,Aura gathers light energy and transforms into shape  ,Aura thu thập năng lượng ánh sáng chuyển thành hình dạng,Aura gathers light energy and transforms into shape  ,ออร่าสะสมพลังงานแสงและเปลี่ยนเป็นรูปร่าง  ,Aura mengumpulkan energi cahaya dan berubah bentuk  ,Aura recoge energía luminosa y se transforma en forma  ,Aura mengumpul tenaga cahaya dan berubah bentuk  ,6 types,6 Loại,6 types,6 ชนิด,6 jenis,6 na uri,6 jenis,,
307,2,50,382,"How did the spirit Arceus, called the “God of Creation,” create the world?  ","Tinh linh Arceus, được gọi là “Thần sáng tạo”, đã tạo ra thế giới như thế nào?","How did the spirit Arceus, called the “God of Creation,” create the world?  ",tinh linh Arceus ซึ่งเรียกว่า “เทพเจ้าแห่งการสร้าง” สร้างโลกอย่างไร?  ,Bagaimana spirit Arceus yang disebut “Dewa Pencipta” menciptakan dunia?  ,"Paano nilikha ng espiritu na si Arceus, na tinatawag na “Diyos ng Paglikha,” ang mundo?  ","Roh Arceus, digelar “Tuhan Pencipta”, mencipta dunia dengan cara bagaimana?",Sinh từ một quả trứng trong hư vô,Sinh từ một quả trứng trong hư vô,Born from an egg in the void  ,เกิดจากไข่ในความว่างเปล่า  ,Lahir dari telur dalam kekosongan  ,Ipinanganak mula sa itlog sa kawalan  ,Dilahirkan daripada telur dalam kehampaan  ,Gradually formed in the aurora  ,Dần dần hình thành trong cực quang,Gradually formed in the aurora  ,ค่อยๆ ก่อตัวในแสงเหนือ  ,Terbentuk perlahan dalam aurora  ,Unti-unting nabubuo sa aurora  ,Terbentuk perlahan-lahan dalam aurora  ,Sharp Fang Cage  ,Sharp Fang Cage,Sharp Fang Cage  ,กรงเขี้ยวแหลม  ,Kandang Taring Tajam  ,Jaula de Colmillos Afilados  ,Sangkar Taring Tajam  ,Created by humanity,Bị nhân loại sáng tạo mà thành,Created by humanity,ถูกสร้างโดยมนุษย์,Diciptakan oleh manusia,Nilikha ng sangkatauhan,Dicipta oleh manusia,,
308,2,50,383,Which spirit below is NOT one that Kasumi has caught?  ,Tinh linh nào dưới đây không phải là một trong những tinh linh mà Kasumi đã bắt?,Which spirit below is NOT one that Kasumi has caught?  ,ในบรรดา tinh linh เหล่านี้ อันไหนไม่ใช่ tinh linh ที่ Kasumi เคยจับ?  ,Spirit mana di bawah ini BUKAN salah satu yang pernah ditangkap Kasumi?  ,Aling espiritu sa ibaba ang HINDI nahuli ni Kasumi?  ,Roh manakah di bawah ini bukan antara roh yang pernah ditangkap oleh Kasumi?,Certainly,Certainly,Certainly  ,แน่นอน  ,Tentu saja  ,Tiyak  ,Pasti  ,Vulpix  ,Vulpix,Vulpix  ,วัลพิกซ์  ,Vulpix  ,Vulpix  ,Vulpix  ,Black  ,Màu đen,Black  ,สีดำ  ,Hitam  ,Negro  ,Hitam  ,Gas bullet,Gas đạn,Gas bullet,กระสุนแก๊ส,Peluru gas,Gas na bala,Peluru gas,,
309,2,50,384,What color are Ralts’s eyes?  ,Mắt của Ralts có màu gì?,What color are Ralts’s eyes?  ,ดวงตาของ Ralts มีสีอะไร?  ,Warna mata Ralts apa?  ,Anong kulay ang mga mata ni Ralts?  ,Apakah warna mata Ralts?,Đỏ,Đỏ,Red  ,สีแดง  ,Merah  ,Pula  ,Merah  ,Blue  ,Màu xanh,Blue  ,สีน้ำเงิน  ,Biru  ,Asul  ,Biru  ,6 strands  ,6 sợi,6 strands  ,6 เส้น  ,6 helai  ,6 mechones  ,6 helai  ,Six colors,Lục sắc,Six colors,หกสี,Enam warna,Anim na kulay,Enam warna,,
